packet size,time interval,dst port,label
257,0.007811069488525391,443,0
56,0.011794328689575195,7680,0
56,0.1600656509399414,65478,0
56,0.0057942867279052734,65478,0
56,0.0038933753967285156,65478,0
92,0.0039174556732177734,65478,0
54,0.033783912658691406,443,0
66,0.18946266174316406,7680,0
66,0.009912490844726562,50003,0
56,0.007774829864501953,7680,0
129,0.005864381790161133,7680,0
129,0.004876375198364258,50003,0
97,0.0029273033142089844,7680,0
97,0.0039033889770507812,50003,0
54,0.003905057907104492,50003,0
56,0.002928495407104492,7680,0
56,0.003909587860107422,7680,0
54,0.001949310302734375,50003,0
339,0.46277832984924316,65478,0
54,0.011707305908203125,443,0
66,0.10810375213623047,7680,0
66,0.004090785980224609,57658,0
56,0.04458045959472656,7680,0
129,0.016642093658447266,7680,0
129,0.007808685302734375,57658,0
74,0.06371831893920898,7680,0
74,0.0038979053497314453,57658,0
54,0.002928495407104492,57658,0
56,0.013668298721313477,65478,0
54,0.0039157867431640625,443,0
56,0.05485796928405762,7680,0
56,0.002928495407104492,7680,0
54,0.002936124801635742,57658,0
66,1.6055362224578857,7680,0
66,0.11717438697814941,65479,0
54,0.0029332637786865234,7680,0
129,0.0019414424896240234,7680,0
129,0.09945201873779297,65479,0
56,0.0029287338256835938,65479,0
54,0.001964569091796875,7680,0
54,0.0019779205322265625,7680,0
56,0.0038766860961914062,65479,0
66,0.14479517936706543,7680,0
66,0.010744333267211914,65480,0
54,0.0038886070251464844,7680,0
129,0.0039196014404296875,7680,0
129,0.004868268966674805,65480,0
56,0.0029451847076416016,65480,0
54,0.002916574478149414,7680,0
54,0.002931833267211914,7680,0
56,0.004889965057373047,65480,0
66,0.5849153995513916,443,0
66,0.04253053665161133,58249,0
54,0.0029287338256835938,443,0
1466,0.0019593238830566406,443,0
458,0.0029816627502441406,443,0
56,0.01708078384399414,58249,0
66,0.0029366016387939453,443,0
56,0.016630172729492188,58249,0
66,0.02955484390258789,53156,0
54,0.0019500255584716797,443,0
1466,0.0029273033142089844,443,0
426,0.0029296875,443,0
56,0.010741949081420898,53156,0
56,0.021637678146362305,53156,0
66,0.8228127956390381,443,0
66,0.21418237686157227,443,0
66,0.014959573745727539,59152,0
54,0.002908945083618164,443,0
1494,0.002778291702270508,443,0
515,0.0029430389404296875,443,0
66,0.018904924392700195,55610,0
54,0.0029349327087402344,443,0
1466,0.0039026737213134766,443,0
458,0.0029311180114746094,443,0
56,0.011258602142333984,55610,0
66,0.003901243209838867,443,0
56,0.015817880630493164,55610,0
66,0.02588629722595215,60740,0
54,0.0029206275939941406,443,0
1466,0.00390934944152832,443,0
426,0.002925872802734375,443,0
56,0.016614675521850586,60740,0
56,0.016488075256347656,60740,0
56,0.11270546913146973,59152,0
153,0.003844022750854492,59152,0
801,0.0029304027557373047,443,0
1514,0.21100902557373047,59152,0
1514,0.0029420852661132812,59152,0
1514,0.0029304027557373047,59152,0
54,0.0029296875,443,0
1514,0.002937793731689453,59152,0
579,0.0038979053497314453,59152,0
54,0.002932310104370117,443,0
128,0.0029342174530029297,443,0
146,0.002919912338256836,443,0
545,0.001978635787963867,443,0
1494,0.0029108524322509766,443,0
1335,0.004883289337158203,443,0
55,0.04359602928161621,5228,0
66,0.14625120162963867,51842,0
56,0.008792400360107422,59152,0
56,0.00871586799621582,59152,0
157,0.009745121002197266,59152,0
116,0.004918575286865234,59152,0
54,0.0038635730743408203,443,0
85,0.003917694091796875,443,0
366,0.19716334342956543,59152,0
56,0.04012131690979004,59152,0
54,0.004843473434448242,443,0
66,0.10676407814025879,7680,0
66,0.004835605621337891,64780,0
56,0.005866050720214844,7680,0
129,0.006871461868286133,7680,0
129,0.004821062088012695,64780,0
74,0.0029296875,7680,0
74,0.002958536148071289,64780,0
54,0.001957416534423828,64780,0
56,0.003871440887451172,7680,0
56,0.0029268264770507812,7680,0
54,0.0029897689819335938,64780,0
66,1.074686050415039,7680,0
66,0.0029230117797851562,63679,0
56,0.0039038658142089844,7680,0
129,0.003913164138793945,7680,0
129,0.0019533634185791016,63679,0
74,0.003926515579223633,7680,0
74,0.0029006004333496094,63679,0
54,0.003905773162841797,63679,0
56,0.00490570068359375,7680,0
56,0.0038852691650390625,7680,0
54,0.004884004592895508,63679,0
112,0.3988218307495117,443,0
101,0.18003463745117188,62474,0
54,0.039604902267456055,443,0
66,0.26715707778930664,8081,0
66,0.0028820037841796875,8081,0
66,0.0019578933715820312,8081,0
66,0.0019779205322265625,8081,0
66,0.0038766860961914062,8081,0
66,0.006841421127319336,8081,0
66,0.002941131591796875,8081,0
66,0.0039048194885253906,8081,0
58,0.0727999210357666,60748,0
54,0.0020089149475097656,8081,0
1168,0.004828691482543945,8081,0
54,0.0029294490814208984,8081,0
66,0.0039064884185791016,60743,0
56,0.0058557987213134766,60748,0
54,0.003939390182495117,8081,0
1478,0.002898693084716797,8081,0
128,0.003907680511474609,8081,0
54,0.0048906803131103516,8081,0
58,0.003931999206542969,60742,0
54,0.0029096603393554688,8081,0
1152,0.002989053726196289,8081,0
54,0.003904104232788086,8081,0
56,0.003914594650268555,60743,0
66,0.0029180049896240234,60747,0
54,0.002491474151611328,8081,0
1168,0.003938913345336914,8081,0
56,0.004878997802734375,60742,0
54,0.003896951675415039,8081,0
66,0.002923250198364258,60744,0
56,0.0029294490814208984,60747,0
54,0.0029349327087402344,8081,0
1152,0.005852699279785156,8081,0
54,0.0029332637786865234,8081,0
56,0.003908872604370117,60744,0
58,0.0039136409759521484,60745,0
54,0.0029304027557373047,8081,0
1168,0.004870891571044922,8081,0
54,0.0019779205322265625,8081,0
58,0.0029044151306152344,60741,0
56,0.0029296875,60745,0
54,0.003906965255737305,8081,0
1168,0.003904581069946289,8081,0
54,0.002925395965576172,8081,0
58,0.0019512176513671875,60746,0
56,0.003913402557373047,60741,0
54,0.003902912139892578,8081,0
1168,0.004881143569946289,8081,0
54,0.0019559860229492188,8081,0
56,0.002928018569946289,60746,0
78,1.1823582649230957,55724,0
82,0.004882097244262695,443,0
56,0.018596410751342773,55724,0
66,1.557856798171997,443,0
66,0.22258520126342773,60268,0
54,0.0039408206939697266,443,0
1466,0.0029296875,443,0
728,0.0038666725158691406,443,0
56,0.21457266807556152,60268,0
1466,0.025604724884033203,60268,0
1466,0.003907918930053711,60268,0
1324,0.002928495407104492,60268,0
54,0.009769201278686523,443,0
128,0.0029342174530029297,443,0
1024,0.20786190032958984,60268,0
54,0.0389552116394043,443,0
66,1.0076026916503906,7680,0
66,0.0048944950103759766,60269,0
54,0.004885196685791016,7680,0
129,0.002924203872680664,7680,0
129,0.00393366813659668,60269,0
56,0.003972291946411133,60269,0
54,0.0039010047912597656,7680,0
54,0.001974821090698242,7680,0
56,0.005868434906005859,60269,0
66,0.17405009269714355,7680,0
66,0.0038673877716064453,57693,0
56,0.012747526168823242,7680,0
129,0.006829500198364258,7680,0
129,0.002963542938232422,57693,0
54,0.0029366016387939453,57693,0
56,0.004863739013671875,7680,0
66,0.0029451847076416016,7680,0
66,0.0019490718841552734,59567,0
54,0.0038726329803466797,7680,0
129,0.0029845237731933594,7680,0
129,0.005806446075439453,59567,0
54,0.0029642581939697266,59567,0
54,0.002936840057373047,7680,0
54,0.0019075870513916016,7680,0
56,0.0039250850677490234,7680,0
54,0.004875898361206055,57693,0
66,0.15375208854675293,443,0
66,0.023464679718017578,8081,0
66,0.0028977394104003906,8081,0
66,0.0029685497283935547,8081,0
66,0.001949310302734375,8081,0
66,0.003899097442626953,8081,0
66,0.0029039382934570312,8081,0
66,0.0039043426513671875,8081,0
66,0.006834506988525391,8081,0
66,0.012691736221313477,51173,0
54,0.0049250125885009766,443,0
1466,0.002899169921875,443,0
362,0.0048809051513671875,443,0
56,0.006865978240966797,51173,0
66,0.003943681716918945,443,0
56,0.003899097442626953,51173,0
54,0.02027750015258789,7680,0
54,0.005852460861206055,59567,0
66,0.001977682113647461,65030,0
54,0.004851579666137695,443,0
1466,0.00390934944152832,443,0
426,0.007810831069946289,443,0
58,0.003900766372680664,51174,0
54,0.0039043426513671875,8081,0
1168,0.0048885345458984375,8081,0
54,0.0039081573486328125,8081,0
66,0.0039048194885253906,51177,0
54,0.002922534942626953,8081,0
1168,0.00391077995300293,8081,0
54,0.004878520965576172,8081,0
56,0.0048847198486328125,51174,0
56,0.002932310104370117,51177,0
58,0.003926277160644531,51175,0
66,0.0048770904541015625,51176,0
1168,0.0039048194885253906,8081,0
1152,0.0029294490814208984,8081,0
54,0.004461526870727539,8081,0
54,0.0039021968841552734,8081,0
58,0.0019512176513671875,51178,0
54,0.002970457077026367,8081,0
1168,0.0019788742065429688,8081,0
54,0.0029211044311523438,8081,0
56,0.003905773162841797,51175,0
56,0.0029320716857910156,51176,0
66,0.002925872802734375,51179,0
56,0.0029413700103759766,65030,0
54,0.0029158592224121094,8081,0
1168,0.002936840057373047,8081,0
54,0.0039103031158447266,8081,0
56,0.0039000511169433594,51178,0
56,0.0039038658142089844,51179,0
66,0.0039103031158447266,51180,0
54,0.0048787593841552734,8081,0
1168,0.003908872604370117,8081,0
54,0.002925395965576172,8081,0
56,0.003954648971557617,51180,0
66,0.0028846263885498047,51181,0
54,0.003920078277587891,8081,0
1200,0.003922462463378906,8081,0
54,0.0019516944885253906,8081,0
56,0.002896547317504883,51181,0
56,0.0029244422912597656,65030,0
66,0.0709528923034668,8081,0
66,0.0019948482513427734,8081,0
66,0.09560155868530273,65031,0
54,0.003912448883056641,8081,0
1168,0.002924203872680664,8081,0
54,0.0029306411743164062,8081,0
56,0.0039017200469970703,65031,0
66,0.005867481231689453,65032,0
54,0.003936290740966797,8081,0
1152,0.0028972625732421875,8081,0
54,0.003900766372680664,8081,0
56,0.003924369812011719,65032,0
66,0.6936507225036621,443,0
66,0.010749101638793945,443,0
66,0.0078125,62355,0
54,0.006421804428100586,443,0
1254,0.01367044448852539,443,0
